stop_id,stop_name,stop_lat,stop_lon
"0011647","Großdeuben, Bahnhof (Böhlen)","51.230957","12.384494"
"0011648","Gaschwitz (Markkleeberg), Bahnhof","51.250327","12.380086"
"0011649","Gaschwitz (Markkleeberg), Am Park","51.245675","12.383025"
"0011652","Leipzig, Messeverwaltung","51.395164","12.394514"
"0011653","Leipzig, Am alten Flughafen","51.390200","12.397308"
"0011654","Leipzig, Martin-Herrmann-Str.","51.307307","12.322101"
"0011656","Leipzig, Engelsdorf, Werkstättenstr.","51.336800","12.466509"
"0011657","Leipzig, Engelsdorf, Artur-Winkler-Str.","51.338008","12.475501"
"0011658","Leipzig, Engelsdorf, Gymnasium","51.334304","12.482412"
"0011659","Leipzig, Engelsdorf, Ernst-Guhr-Str.","51.336700","12.472000"
"0011660","Leipzig, Einfahrt Sachsenpark","51.399601","12.401499"
"0011661","Leipzig, Sachsenpark","51.401602","12.397004"
"0011683","Leipzig, Lausen, Lausener Bogen","51.299804","12.261202"
"0011685","Leipzig, Lausen, Am Silo","51.304602","12.260711"
"0011689","Leipzig, Lausen, Wolkenweg","51.301400","12.269104"
"0011692","Leipzig, Bismarckstr.","51.300407","12.320010"
"0011695","Leipzig, Raiffeisenstr.","51.299602","12.287708"
"0011697","Leipzig, Siedlung Florian Geyer","51.297007","12.289502"
"0011699","Leipzig, S-Bahnhof Karlsruher Str.","51.317001","12.278709"
"0011702","Leipzig, Am kleinen Feld","51.316603","12.264002"
"0011765","Lindennaundorf (b. Leipzig), Schmiede","51.335691","12.249511"
"0011766","Frankenheim (b. Leipzig), Hopfenweg","51.338931","12.243266"
"0011767","Leipzig, Rückmarsdorf, Löwen Center","51.346205","12.263307"
"0011768","Leipzig, Rückmarsdorf, Sandberg","51.346701","12.258403"
"0011769","Leipzig, Rückmarsdorf, Zur Kaninchenfarm","51.343400","12.295712"
"0011770","Leipzig, Rückmarsdorf, Zum Bahnhof","51.344507","12.281908"
"0011771","Leipzig, Lindenau, Friedhof","51.340702","12.314798"
"0011772","Leipzig, Merseburger/Schomburgkstr.","51.342805","12.301800"
"0011773","Frankenheim (b. Leipzig), Friedenseiche","51.337978","12.236424"
"0011774","Frankenheim (b. Leipzig), Gewerbegebiet","51.339685","12.225433"
"0011775","Leipzig, Knauthain, Am Weiher","51.272902","12.311101"
"0011777","Leipzig, Knauthain, Schönbergstr.","51.275507","12.311504"
"0011782","Leipzig, Knauthain, Thomas-Müntzer-Siedlung","51.269803","12.302407"
"0011783","Leipzig, Knauthain, Am Klucksgraben","51.266905","12.297712"
"0011785","Leipzig, Kregelstr.","51.322600","12.404704"
"0011786","Leipzig, Pelzgasse","51.401703","12.392598"
"0011787","Leipzig, Zuckelhausen","51.305002","12.452906"
"0011788","Leipzig, Seehausen, Seehausener Allee","51.399995","12.395045"
"0011789","Leipzig, Gypsbergstr.","51.380501","12.397509"
"0011790","Leipzig, Gewerbegebiet Podelwitz","51.409519","12.394055"
"0011792","Leipzig, Siedlung Waldfrieden","51.312901","12.443313"
"0011814","Markranstädt, Robert-Koch-Str.","51.304731","12.224241"
"0011815","Markranstädt, Schkeuditzer Str.","51.306946","12.226764"
"0011818","Markranstädt, Ostsiedlung","51.310504","12.233685"
"0011820","Markranstädt, An der Schachtbahn","51.306956","12.226721"
"0011821","Leipzig, Miltitz, Geschwister-Scholl-Str.","51.320402","12.256107"
"0011823","Leipzig, Miltitz, Friedhof","51.318708","12.247506"
"0011826","Leipzig, Str. am See","51.316203","12.261606"
